1|1|Assetto Corsa 52.33.366
2|1|Assetto Corsa 57.57.504
3|1|Assetto Corsa 12.36.866
4|1|Assetto Corsa 43.18.520
5|1|Assetto Corsa 04.45.796
6|1|Assetto Corsa 45.16.366
7|1|Assetto Corsa 23.32.721
8|1|Assetto Corsa 50.44.270
9|1|Assetto Corsa 36.23.991
10|1|Assetto Corsa 35.43.255
11|1|Assetto Corsa 44.25.071
12|1|Assetto Corsa 09.01.980
13|1|Assetto Corsa 42.04.888
14|1|Assetto Corsa 37.51.829
15|1|Assetto Corsa 24.34.830
16|1|Assetto Corsa 32.55.253
17|1|Assetto Corsa 48.43.593
18|1|Assetto Corsa 04.54.012
19|1|Assetto Corsa 51.37.756
20|1|Assetto Corsa 19.26.873
21|1|Assetto Corsa 18.13.545
