1|Pagani Zonda R|36.07.501|Medium|Puolipilvinen|ABS, TCS: 1|Epavakaa yli 200km/h vauhdissa.|Kilparata|
2|Pagani Zonda R|23.48.774|Medium|Puolipilvinen|ABS, TCS: 9|Epavakaa yli 200km/h vauhdissa.|Kilparata|
3|Pagani Zonda R|55.34.560|Medium|Puolipilvinen|ABS, TCS: 5|Epavakaa yli 200km/h vauhdissa.|Kilparata|
4|Pagani Zonda R|25.38.523|Medium|Puolipilvinen|ABS, TCS: 1|Epavakaa yli 200km/h vauhdissa.|Kilparata|
5|Pagani Zonda R|21.38.193|Medium|Puolipilvinen|ABS, TCS: 4|Epavakaa yli 200km/h vauhdissa.|Kilparata|
6|Pagani Zonda R|18.34.972|Medium|Puolipilvinen|ABS, TCS: 9|Epavakaa yli 200km/h vauhdissa.|Kilparata|
7|Pagani Zonda R|18.06.515|Medium|Puolipilvinen|ABS, TCS: 2|Epavakaa yli 200km/h vauhdissa.|Kilparata|
8|Pagani Zonda R|07.46.100|Medium|Puolipilvinen|ABS, TCS: 6|Epavakaa yli 200km/h vauhdissa.|Kilparata|
9|Pagani Zonda R|09.39.555|Medium|Puolipilvinen|ABS, TCS: 1|Epavakaa yli 200km/h vauhdissa.|Kilparata|
10|Pagani Zonda R|44.05.138|Medium|Puolipilvinen|ABS, TCS: 3|Epavakaa yli 200km/h vauhdissa.|Kilparata|
11|Pagani Zonda R|30.13.888|Medium|Puolipilvinen|ABS, TCS: 1|Epavakaa yli 200km/h vauhdissa.|Kilparata|
12|Pagani Zonda R|03.05.016|Medium|Puolipilvinen|ABS, TCS: 3|Epavakaa yli 200km/h vauhdissa.|Kilparata|
13|Pagani Zonda R|40.43.172|Medium|Puolipilvinen|ABS, TCS: 3|Epavakaa yli 200km/h vauhdissa.|Kilparata|
14|Pagani Zonda R|55.18.866|Medium|Puolipilvinen|ABS, TCS: 1|Epavakaa yli 200km/h vauhdissa.|Kilparata|
15|Pagani Zonda R|58.00.947|Medium|Puolipilvinen|ABS, TCS: 3|Epavakaa yli 200km/h vauhdissa.|Kilparata|
16|Pagani Zonda R|47.05.757|Medium|Puolipilvinen|ABS, TCS: 8|Epavakaa yli 200km/h vauhdissa.|Kilparata|
17|Pagani Zonda R|33.10.209|Medium|Puolipilvinen|ABS, TCS: 7|Epavakaa yli 200km/h vauhdissa.|Kilparata|
18|Pagani Zonda R|04.53.125|Medium|Puolipilvinen|ABS, TCS: 6|Epavakaa yli 200km/h vauhdissa.|Kilparata|
19|Pagani Zonda R|31.26.428|Medium|Puolipilvinen|ABS, TCS: 6|Epavakaa yli 200km/h vauhdissa.|Kilparata|
20|Pagani Zonda R|09.54.662|Medium|Puolipilvinen|ABS, TCS: 9|Epavakaa yli 200km/h vauhdissa.|Kilparata|
21|Pagani Zonda R|46.22.882|Medium|Puolipilvinen|ABS, TCS: 2|Epavakaa yli 200km/h vauhdissa.|Kilparata|
