1|Pagani Zonda R|12.17.037|Medium|Puolipilvinen|ABS, TCS: 9|Epavakaa yli 200km/h vauhdissa.|1|
2|Pagani Zonda R|03.54.067|Medium|Puolipilvinen|ABS, TCS: 10|Epavakaa yli 200km/h vauhdissa.|1|
3|Pagani Zonda R|50.43.552|Medium|Puolipilvinen|ABS, TCS: 6|Epavakaa yli 200km/h vauhdissa.|1|
4|Pagani Zonda R|35.12.818|Medium|Puolipilvinen|ABS, TCS: 3|Epavakaa yli 200km/h vauhdissa.|1|
5|Pagani Zonda R|49.15.255|Medium|Puolipilvinen|ABS, TCS: 3|Epavakaa yli 200km/h vauhdissa.|1|
6|Pagani Zonda R|29.30.206|Medium|Puolipilvinen|ABS, TCS: 8|Epavakaa yli 200km/h vauhdissa.|1|
7|Pagani Zonda R|02.05.114|Medium|Puolipilvinen|ABS, TCS: 4|Epavakaa yli 200km/h vauhdissa.|1|
8|Pagani Zonda R|28.48.642|Medium|Puolipilvinen|ABS, TCS: 8|Epavakaa yli 200km/h vauhdissa.|1|
9|Pagani Zonda R|60.36.712|Medium|Puolipilvinen|ABS, TCS: 5|Epavakaa yli 200km/h vauhdissa.|1|
10|Pagani Zonda R|53.16.066|Medium|Puolipilvinen|ABS, TCS: 6|Epavakaa yli 200km/h vauhdissa.|1|
11|Pagani Zonda R|24.08.316|Medium|Puolipilvinen|ABS, TCS: 4|Epavakaa yli 200km/h vauhdissa.|1|
12|Pagani Zonda R|24.03.254|Medium|Puolipilvinen|ABS, TCS: 2|Epavakaa yli 200km/h vauhdissa.|1|
13|Pagani Zonda R|47.10.509|Medium|Puolipilvinen|ABS, TCS: 2|Epavakaa yli 200km/h vauhdissa.|1|
14|Pagani Zonda R|20.07.647|Medium|Puolipilvinen|ABS, TCS: 10|Epavakaa yli 200km/h vauhdissa.|1|
15|Pagani Zonda R|22.16.158|Medium|Puolipilvinen|ABS, TCS: 3|Epavakaa yli 200km/h vauhdissa.|1|
16|Pagani Zonda R|50.48.262|Medium|Puolipilvinen|ABS, TCS: 2|Epavakaa yli 200km/h vauhdissa.|1|
17|Pagani Zonda R|44.17.134|Medium|Puolipilvinen|ABS, TCS: 2|Epavakaa yli 200km/h vauhdissa.|1|
18|Pagani Zonda R|21.05.073|Medium|Puolipilvinen|ABS, TCS: 3|Epavakaa yli 200km/h vauhdissa.|1|
19|Pagani Zonda R|24.57.333|Medium|Puolipilvinen|ABS, TCS: 10|Epavakaa yli 200km/h vauhdissa.|1|
20|Pagani Zonda R|52.25.620|Medium|Puolipilvinen|ABS, TCS: 4|Epavakaa yli 200km/h vauhdissa.|1|
